variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
max_branch,0.7482036229853039,12,-1.4162475238171852,1.709876016031908,1.7008795576191535,0.6790284726886064,0.6776052780449928,0.7263871643037211,2.8765572342906824,1.0040047812834885,253.29502178302675,219.05118051561786,200,data_set_11,0.468531778933994,2.8815950132071206,0.95,STL
range_branch,0.6629686950353726,16,-1.385658815549738,1.6126513815266628,1.6325986748565842,0.6853654563692281,0.7103449823471458,0.6042103368068742,2.7541622511287773,1.0038753173075063,242.9321746956219,178.62881248895587,200,data_set_11,0.39632323313037243,2.7834565823031925,0.95,STL
RF_dist,3,17,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_11,3,3,0.95,STL
BHV_dist,2.502209693095059,23,-1.2180216035837907,3.4486390084211527,3.3941614276686574,0.777021780682223,0.8030834142939236,2.397898795748408,4.844221713890743,1.003478139712858,262.3875128909529,182.83330904346496,200,data_set_11,2.2635814090913895,4.864079480308679,0.95,STL
KC_dist,3.1622776601683795,61,-0.5731091955549833,3.3110365532168373,3.1622776601683795,0.25956465923462235,0,3.1622776601683795,3.872983346207417,0.9960626563048478,225.13361734773304,181.2453141756271,200,data_set_11,3.1622776601683795,3.872983346207417,0.95,STL
tree_length,3.582420916449799,52,-0.6087689845550449,4.58791382483864,4.409641676410953,1.6516822208407442,1.3216290138180737,2.347722946741485,7.515637742099609,1.0152994293917936,212.71371107614655,152.79727174656946,200,data_set_12,1.7231800103909378,8.379942400434075,0.95,STL
max_branch,1.2067293169938782,55,-0.6080078628922662,1.6234417580640526,1.507321781361658,0.6853734408760636,0.5879487627287295,0.7540233727914076,2.9419403241447073,1.0173028890659084,246.8207347528119,132.18820951751766,200,data_set_12,0.4694419491772004,3.065578963960078,0.95,STL
range_branch,1.1887410126239923,67,-0.5314682596577791,1.5505964552709657,1.450551941903433,0.6808599310897283,0.6042209784716157,0.7028349719934396,2.832226359053775,1.0137297213310765,210.6409364734901,122.8271800028729,200,data_set_12,0.40354293102565186,2.9332676152172805,0.95,STL
RF_dist,3,170,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_12,3,3,0.95,STL
BHV_dist,3.2302135451543363,109,-0.0512730285716145,3.2711197050989287,3.1661325661179895,0.7978104879733708,0.6557224236145062,2.2222373366548385,4.756147543271835,1.0147919780067838,225.48748490732385,152.7972717465694,200,data_set_12,2.014051569522975,4.7766766083898675,0.95,STL
KC_dist,3,69,-0.5887654450239125,3.1656358893429513,3,0.28132746366632305,0,3,3.872983346207417,1.001202060763483,187.1203927165488,216.34323946086317,200,data_set_12,3,3.872983346207417,0.95,STL
tree_length,8.246338303244737,184,1.3837168082014357,5.604580414641523,5.3350400962844615,1.909175253885214,1.7206306302960332,3.1266743790856175,9.121522106870538,0.9958467072395765,208.4284602136115,122.99431142769942,200,data_set_13,2.4585037833769054,9.170327626525324,0.95,STL
max_branch,3.3123545313975495,188,1.6199725219248822,2.0141505067777197,1.9024589743601283,0.8013741017516021,0.7212847393704587,0.9944279589521998,3.3349258911208426,1.0066615080657202,245.44774382681058,177.08781458378155,200,data_set_13,0.7983800132581996,3.58181728487515,0.95,STL
range_branch,3.308044937544542,190,1.6915507722033845,1.9458109145124403,1.8363760722657978,0.8053166629209005,0.7426787785912216,0.9482212847792361,3.252465633165333,1.0003656134744283,248.10528356826626,177.08781458378155,200,data_set_13,0.7356140514030187,3.4816448735852727,0.95,STL
RF_dist,3,96,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_13,3,3,0.95,STL
BHV_dist,4.584180642278271,179,1.2942942622722922,3.4189844012293378,3.1800862503232237,0.9002560507401839,0.7443438194299449,2.4189022182940967,5.123821309545525,1.0012347279601803,241.14647907733314,179.07394064628394,200,data_set_13,2.188127997338904,5.247623769582613,0.95,STL
KC_dist,3.1622776601683795,42,-1.0736149978323155,3.399475311360735,3.4641016151377544,0.22093362301315658,0,3.1622776601683795,3.4641016151377544,0.9952178227486634,219.25831270301833,188.8028437222294,200,data_set_13,3.1622776601683795,3.4641016151377544,0.95,STL
