variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,scenario
bl1_length,1.5059653219203142,72,-0.5685763938015609,3.651383385365018,2.5783237288895338,3.773315401120007,2.760299359330214,0.1209694870521435,11.718558074984362,1.0048230409967325,190.67250954286936,220.242772826832,200,data_set_7,0.004418683215551946,11.877855341612802,0.95,Scenario_2
birthRate,0.046283569158068305,0,-3.217962701965178,0.13286292719248757,0.12966339961088474,0.026905022230850006,0.028169677721501137,0.0911673605636248,0.18163741466344657,1.002916852199319,228.67164572451887,171.69241998657486,200,data_set_7,0.07999742242502286,0.18268491164862524,0.95,Scenario_2
bmRate,0.0731001262865754,23,-1.0678842259901022,0.1119170753202849,0.10649732358312415,0.036349398267138816,0.031448586410403837,0.0662949237202199,0.17901374534046588,1.001213363214867,179.691728127219,176.87381872549292,200,data_set_7,0.051577562787824195,0.18483127628802112,0.95,Scenario_2
tree_length,1651.152321739767,200,9.03487014431835,573.4605652304059,570.2160741337545,119.28137751786906,114.46106038212976,381.2721907264347,775.6355469916974,1.0105346525884666,189.7640016810843,154.06918008282148,200,data_set_8,327.50320120366985,791.0014919175425,0.95,Scenario_2
max_branch,49.44960853176837,200,4.607410903502527,21.142983476930677,20.2324289424527,6.143716210186324,4.9118203657365616,12.675912830963007,32.674999774383274,0.9950133187113892,200.45427331784387,183.81776436968573,200,data_set_8,10.951599597541074,34.255384032395945,0.95,Scenario_2
range_branch,49.42845098683563,200,4.6106413982076555,21.10461864072742,20.166333134159792,6.14314363227616,4.938122990957424,12.64520922913498,32.599390526675705,0.9950139526995683,200.33887231563364,183.81776436968573,200,data_set_8,10.553757211087849,33.76833752813976,0.95,Scenario_2
bl1_length,12.087194081046363,190,2.065610016413426,3.752246274708745,2.2715412677910507,4.035102337860372,2.4455198687655857,0.20557562834205226,12.014053856529149,0.9993606949336734,237.9668600651817,224.40597791289804,200,data_set_8,0.03989606198740372,12.941062394408263,0.95,Scenario_2
birthRate,0.04080525833564517,0,-3.581643748210552,0.1320449496795166,0.12865076188205185,0.025474250863016818,0.024305529565077744,0.09640635862937769,0.17795938791867164,1.0059158198968168,185.3741012782519,149.076952862528,200,data_set_8,0.09398070935720701,0.19064897093424713,0.95,Scenario_2
bmRate,0.07796055440850747,53,-0.7329433164989139,0.10632293680057835,0.09822715064826823,0.03869655640977922,0.03550724361561816,0.05882451391442484,0.18403624266835789,0.9973918671092755,212.07939136722842,212.62085774700176,200,data_set_8,0.04437164948955199,0.18816234714806318,0.95,Scenario_2
tree_length,72.70862704029528,158,0.751535821033267,57.764378539250345,56.62052894245993,19.88494504559807,19.970199316281143,30.17389069646992,93.27528850119066,1.0084006790823248,185.54192309085005,176.75574219857674,200,data_set_9,25.33035509152973,96.0289374625147,0.95,Scenario_2
max_branch,10.174368793783799,72,-0.474510083245643,12.509176047400873,11.542646186437825,4.920458671071901,4.244816518743332,6.024180704861748,20.73148984997072,0.9959912400038976,157.31578286533727,183.81776436968573,200,data_set_9,4.990196175811517,21.513963276421013,0.95,Scenario_2
range_branch,9.585467371987647,69,-0.48370003434898645,11.871273651251105,10.955204558350069,4.725669044741608,4.253997140557822,5.494397993944729,19.720056315305744,0.9956277422836568,159.4163085611897,183.81776436968573,200,data_set_9,4.042588972612316,20.638640515146005,0.95,Scenario_2
bl1_length,2.9885150332313373,102,-0.25609203087044047,3.9790928371835532,2.8280724579960133,3.868053998343116,3.03820310658219,0.14188331966785667,11.293107065492253,0.9963951424318498,128.84834952218472,182.40894068574056,200,data_set_9,0.01621574408936791,11.517901953731997,0.95,Scenario_2
birthRate,0.03976977383281941,0,-3.671471727594522,0.13315802276639685,0.13249168217160312,0.02543618904421297,0.028293883057386907,0.09766331943612072,0.17930391838907445,1.0060342723247857,202.52708560520318,227.803382535074,200,data_set_9,0.09111384046139875,0.18238615002356814,0.95,Scenario_2
bmRate,0.0941541915009595,60,-0.6285531760182786,0.128626548727445,0.11869341327725172,0.054843979064522354,0.04525805975774179,0.06560713829657225,0.22277533779135317,0.9989334346486292,206.5679191448209,154.06918008282148,200,data_set_9,0.04615915692375065,0.22484906762079768,0.95,Scenario_2
